timestamp,action,order_id,side,type,price,quantity
1,ADD,1,SELL,LIMIT,10032,189
2,ADD,2,SELL,MARKET,0,72
3,ADD,3,SELL,LIMIT,9962,94
4,ADD,4,SELL,LIMIT,9980,61
5,CANCEL,3,SELL,LIMIT,9962,94
6,ADD,5,SELL,LIMIT,10018,25
7,ADD,6,SELL,LIMIT,9982,23
8,CANCEL,5,SELL,LIMIT,10018,25
9,ADD,7,SELL,LIMIT,9995,125
10,CANCEL,7,SELL,LIMIT,9995,125
11,ADD,8,BUY,LIMIT,10006,44
12,ADD,9,BUY,LIMIT,9969,27
13,ADD,10,SELL,LIMIT,9996,115
14,ADD,11,SELL,MARKET,0,60
15,ADD,12,SELL,LIMIT,10042,115
16,ADD,13,SELL,LIMIT,10054,74
17,ADD,14,SELL,LIMIT,9993,87
18,ADD,15,SELL,LIMIT,9993,71
19,CANCEL,12,SELL,LIMIT,10042,115
20,ADD,16,BUY,LIMIT,10008,51
21,ADD,17,SELL,LIMIT,10044,32
22,ADD,18,BUY,LIMIT,10034,154
23,ADD,19,SELL,LIMIT,10053,44
24,ADD,20,BUY,LIMIT,10005,58
25,CANCEL,19,SELL,LIMIT,10053,44
26,ADD,21,SELL,LIMIT,10006,85
27,ADD,22,BUY,MARKET,0,61
28,ADD,23,BUY,LIMIT,10009,146
29,ADD,24,SELL,LIMIT,10033,50
30,ADD,25,SELL,LIMIT,10041,84
31,ADD,26,SELL,LIMIT,10017,84
32,ADD,27,BUY,LIMIT,10010,69
33,ADD,28,BUY,LIMIT,9996,166
34,ADD,29,BUY,LIMIT,9972,51
35,ADD,30,SELL,MARKET,0,9
36,ADD,31,SELL,LIMIT,9984,103
37,ADD,32,SELL,LIMIT,10008,28
38,ADD,33,BUY,LIMIT,10019,64
39,ADD,34,BUY,LIMIT,9964,56
40,ADD,35,BUY,LIMIT,9998,66
41,CANCEL,23,BUY,LIMIT,10009,1
42,ADD,36,BUY,LIMIT,9984,66
43,ADD,37,SELL,LIMIT,9995,82
44,ADD,38,BUY,LIMIT,10037,77
45,ADD,39,SELL,LIMIT,10038,69
46,ADD,40,BUY,LIMIT,10045,1
47,ADD,41,BUY,LIMIT,10015,65
48,ADD,42,SELL,MARKET,0,102
49,ADD,43,BUY,LIMIT,10005,41
50,ADD,44,SELL,LIMIT,10034,118
51,CANCEL,28,BUY,LIMIT,9996,113
52,ADD,45,BUY,LIMIT,9969,125
53,ADD,46,SELL,LIMIT,9990,105
54,ADD,47,SELL,LIMIT,9961,47
55,CANCEL,25,SELL,LIMIT,10041,84
56,ADD,48,SELL,LIMIT,9996,50
57,ADD,49,SELL,LIMIT,9989,95
58,ADD,50,SELL,LIMIT,9973,35
59,ADD,51,SELL,LIMIT,10002,85
60,ADD,52,BUY,LIMIT,9949,76
61,ADD,53,BUY,LIMIT,9972,51
62,ADD,54,SELL,MARKET,0,40
63,ADD,55,BUY,LIMIT,9921,67
64,ADD,56,SELL,LIMIT,9990,68
65,ADD,57,SELL,LIMIT,9959,111
66,CANCEL,51,SELL,LIMIT,10002,85
67,ADD,58,BUY,LIMIT,9954,56
68,ADD,59,SELL,LIMIT,9974,38
69,ADD,60,SELL,LIMIT,9948,105
70,ADD,61,BUY,LIMIT,9935,89
71,ADD,62,SELL,LIMIT,9934,1
72,ADD,63,BUY,LIMIT,9937,78
73,ADD,64,BUY,LIMIT,9903,20
74,ADD,65,SELL,LIMIT,9961,74
75,ADD,66,BUY,LIMIT,9919,90
76,ADD,67,BUY,LIMIT,9916,126
77,ADD,68,BUY,LIMIT,9977,99
78,ADD,69,SELL,LIMIT,9988,95
79,CANCEL,13,SELL,LIMIT,10054,74
80,ADD,70,SELL,LIMIT,9939,123
81,ADD,71,SELL,LIMIT,9973,35
82,CANCEL,66,BUY,LIMIT,9919,90
83,ADD,72,BUY,LIMIT,9890,44
84,ADD,73,SELL,LIMIT,9961,25
85,ADD,74,SELL,LIMIT,9954,117
86,ADD,75,SELL,LIMIT,9942,46
87,ADD,76,BUY,LIMIT,9908,71
88,CANCEL,39,SELL,LIMIT,10038,69
89,ADD,77,BUY,LIMIT,9912,75
90,ADD,78,BUY,LIMIT,9878,57
91,ADD,79,BUY,LIMIT,9896,74
92,ADD,80,BUY,LIMIT,9921,41
93,ADD,81,BUY,LIMIT,9908,42
94,ADD,82,SELL,LIMIT,9951,19
95,ADD,83,BUY,LIMIT,9886,61
96,ADD,84,SELL,LIMIT,9897,103
97,ADD,85,BUY,LIMIT,9933,54
98,CANCEL,71,SELL,LIMIT,9973,35
99,ADD,86,SELL,LIMIT,9893,172
100,ADD,87,SELL,LIMIT,9950,39
101,ADD,88,BUY,LIMIT,9917,130
102,CANCEL,49,SELL,LIMIT,9989,95
103,ADD,89,SELL,MARKET,0,51
104,ADD,90,SELL,LIMIT,9978,1
105,ADD,91,SELL,MARKET,0,34
106,ADD,92,SELL,LIMIT,9979,74
107,ADD,93,SELL,LIMIT,10011,41
108,ADD,94,BUY,LIMIT,9971,114
109,ADD,95,BUY,MARKET,0,65
110,ADD,96,SELL,LIMIT,10002,51
111,CANCEL,24,SELL,LIMIT,10033,50
112,ADD,97,SELL,LIMIT,9979,68
113,ADD,98,BUY,LIMIT,9988,28
114,CANCEL,1,SELL,LIMIT,10032,131
115,ADD,99,BUY,LIMIT,10020,110
116,ADD,100,BUY,LIMIT,9963,55
117,ADD,101,SELL,LIMIT,9986,84
118,CANCEL,77,BUY,LIMIT,9912,75
119,ADD,102,BUY,LIMIT,10004,88
120,ADD,103,BUY,LIMIT,9950,78
121,ADD,104,BUY,LIMIT,9944,52
122,ADD,105,BUY,MARKET,0,52
123,ADD,106,SELL,LIMIT,10002,91
124,ADD,107,BUY,MARKET,0,116
125,CANCEL,44,SELL,LIMIT,10034,118
126,ADD,108,BUY,LIMIT,9984,50
127,ADD,109,BUY,LIMIT,9994,70
128,ADD,110,SELL,LIMIT,10012,131
129,ADD,111,SELL,LIMIT,9991,118
130,ADD,112,SELL,LIMIT,9981,120
131,ADD,113,BUY,LIMIT,10036,63
132,ADD,114,SELL,LIMIT,10017,103
133,ADD,115,BUY,LIMIT,9972,86
134,ADD,116,BUY,LIMIT,9952,126
135,ADD,117,BUY,LIMIT,9967,126
136,CANCEL,114,SELL,LIMIT,10017,103
137,ADD,118,SELL,LIMIT,9997,31
138,ADD,119,SELL,LIMIT,9975,62
139,ADD,120,SELL,LIMIT,9963,103
140,ADD,121,BUY,LIMIT,9954,106
141,ADD,122,BUY,LIMIT,9926,185
142,ADD,123,BUY,LIMIT,9895,80
143,ADD,124,BUY,LIMIT,9950,56
144,ADD,125,SELL,LIMIT,9932,105
145,ADD,126,SELL,LIMIT,9878,106
146,ADD,127,BUY,MARKET,0,122
147,ADD,128,SELL,LIMIT,9941,30
148,ADD,129,SELL,LIMIT,9923,54
149,ADD,130,SELL,LIMIT,9883,101
150,ADD,131,SELL,LIMIT,9896,50
151,CANCEL,48,SELL,LIMIT,9996,50
152,CANCEL,64,BUY,LIMIT,9903,20
153,ADD,132,SELL,LIMIT,9935,88
154,ADD,133,SELL,LIMIT,9927,103
155,ADD,134,SELL,LIMIT,9891,143
156,CANCEL,111,SELL,LIMIT,9991,116
157,ADD,135,SELL,LIMIT,9910,79
158,ADD,136,BUY,LIMIT,9865,124
159,ADD,137,BUY,LIMIT,9909,99
160,ADD,138,SELL,LIMIT,9839,143
161,ADD,139,SELL,LIMIT,9909,119
162,CANCEL,133,SELL,LIMIT,9927,55
163,ADD,140,BUY,LIMIT,9848,151
164,CANCEL,72,BUY,LIMIT,9890,44
165,ADD,141,SELL,LIMIT,9889,107
166,ADD,142,SELL,LIMIT,9862,76
167,ADD,143,BUY,LIMIT,9803,119
168,ADD,144,BUY,LIMIT,9815,71
169,ADD,145,BUY,LIMIT,9864,90
170,ADD,146,BUY,LIMIT,9834,88
171,ADD,147,BUY,LIMIT,9869,43
172,ADD,148,BUY,LIMIT,9826,41
173,ADD,149,BUY,LIMIT,9829,101
174,ADD,150,SELL,LIMIT,9852,54
175,ADD,151,BUY,LIMIT,9846,47
176,ADD,152,BUY,LIMIT,9814,54
177,ADD,153,BUY,MARKET,0,37
178,ADD,154,SELL,LIMIT,9826,33
179,ADD,155,BUY,LIMIT,9853,84
180,ADD,156,BUY,LIMIT,9779,57
181,ADD,157,BUY,LIMIT,9788,1
182,ADD,158,BUY,LIMIT,9781,50
183,ADD,159,SELL,LIMIT,9797,90
184,ADD,160,BUY,LIMIT,9809,134
185,ADD,161,BUY,LIMIT,9833,42
186,ADD,162,BUY,LIMIT,9784,85
187,ADD,163,SELL,LIMIT,9804,60
188,ADD,164,BUY,LIMIT,9786,1
189,ADD,165,BUY,LIMIT,9807,40
190,ADD,166,BUY,LIMIT,9804,108
